 55324.000000,1,-15251560.824172,116617.480389,-21746329.709915,   119.283581, -3870.584834,  -104.414799
 55324.000000,2,-12780349.925658,-13221003.230612,-19167532.246389,  1219.697107, -3356.162416,  1501.689312
 55324.000000,3,13630441.394104,-13326704.950621,18496933.951969,  1005.045021,  3347.258515,  1671.018529
 55324.000000,4,2778218.353320,25773471.923839,5791045.746224, -2190.359713,   923.388514, -3058.796489
 55324.000000,5,19146050.178762,-16401430.226258,-8363516.733288,  2261.057012,  1145.613870,  2929.462072
 55324.000000,6,14694975.590193,8529473.010698,20416472.408961, -2883.792270,  2342.387092,  1097.051885
 55324.000000,7,2394910.689634,15589794.740262,21371693.096422, -3575.941410,  1365.544406,  -595.390203
 55324.000000,8,-24260027.491947,4825830.488944,-9679307.270899,   625.228516, -2557.119786, -2841.968629
 55324.000000,9,20885626.053930,16106454.778915,3146315.599665, -1663.119626,  1543.242627,  3139.903388
 55324.000000,10,-22111875.165746,-2140139.944221,14560609.215830, -1282.377389, -2793.205736, -2357.979629
 55324.000000,11,-5585548.642346,-18658758.978993,-18060424.214020,  3373.507954,   703.050425, -1769.667248
 55324.000000,12,7572051.004449,-13237243.192126,-21747781.480442,  3290.077325,  2042.642844,   -97.772123
 55324.000000,13,-9110631.570801,22182571.453919,11421754.643461, -1787.836827, -2124.960400,  2700.877776
 55324.000000,14,-14234965.986376,11036096.558207,19521702.773763,  -807.350767, -3520.103139,  1401.291052
 55324.000000,15,-3477419.381356,-25449239.653387,6765376.454651,  2169.018612, -1098.134732, -3015.960271
 55324.000000,16,13662847.039787,10467142.977326,-20230968.630347,  -995.642050,  3556.873735,  1167.863058
 55324.000000,17,-5503596.941137,-14267803.857671,21717890.248618,  3502.155549, -1644.466541,  -192.858212
 55324.000000,18,24609723.407175,-7038014.394685,-7096085.559308,  -165.576951,  2445.532664, -2999.752031
 55324.000000,19,20488456.531523,2631836.656753,-16697998.318079, -1995.167865,  2624.287167, -2034.448337
 55324.000000,20,-14519319.826740,17869177.034688,-13244184.645885, -2902.655389,  -492.480814,  2517.660088
 55324.000000,21,21678267.299863,1245640.694171,15297962.910113,  1431.209779,  2804.713208, -2256.497369
 55324.000000,22,3318134.223053,18103914.508103,-19151105.133219, -3436.562543,  -963.398341, -1506.140600
 55324.000000,23,-22068792.768826,-14768382.457674,624362.373124,  1298.066755, -1805.635840,  3171.948911
 55324.000000,24,-14616057.723119,-18988259.348576,11460515.983504,  2738.658605,  -480.032972,  2697.383061
 55324.010417,1,-15013319.768682,-3357917.848607,-21652971.627650,   409.380660, -3839.516092,   311.579260
 55324.010417,2,-11575835.395029,-16119156.532281,-17655010.355634,  1453.157741, -3074.929037,  1854.643356
 55324.010417,3,14415137.832406,-10208178.947227,19837425.410487,   736.220548,  3572.846752,  1303.573311
 55324.010417,4,788652.081673,26380434.076174,2996212.427251, -2224.549132,   423.479199, -3143.024739
 55324.010417,5,21010469.051412,-15232250.809459,-5662622.058718,  1876.145899,  1448.831272,  3063.906411
 55324.010417,6,11980602.643943,10558202.685362,21225364.058250, -3139.484913,  2159.426550,   697.903603
 55324.010417,7,-834804.214648,16681155.440391,20653540.087821, -3590.895453,  1056.218607,  -998.213446
 55324.010417,8,-23490251.611769,2489513.608622,-12146479.501105,  1082.927875, -2627.239341, -2632.762551
 55324.010417,9,19213454.673891,17352840.740814,5937056.575507, -2047.480177,  1222.526217,  3052.836805
 55324.010417,10,-23072497.399635,-4628403.351821,12319265.774355,  -849.272939, -2728.327415, -2615.630511
 55324.010417,11,-2510055.300751,-17867326.399835,-19493199.654532,  3451.106510,  1053.162847, -1409.705591
 55324.010417,12,10459490.614212,-11290272.218393,-21648449.653227,  3117.240115,  2277.745723,   318.192507
 55324.010417,13,-10636698.778588,20084779.571376,13747320.892644, -1598.553317, -2530.104409,  2459.625369
 55324.010417,14,-14837047.942128,7782160.491272,20611320.906569,  -528.687639, -3700.481230,  1016.605150
 55324.010417,15,-1500990.472702,-26215811.236430,4000603.939309,  2216.738019,  -602.911225, -3119.155109
 55324.010417,16,12651812.297499,13569106.902436,-19008880.727745, -1247.875188,  3326.479769,  1543.987643
 55324.010417,17,-2313357.890510,-15620846.037270,21357998.675270,  3577.083178, -1357.975736,  -605.752275
 55324.010417,18,24249438.995211,-4782808.604941,-9727076.299102,  -633.905257,  2558.838454, -2838.497467
 55324.010417,19,18521715.561889,4964279.941709,-18380112.632063, -2369.090931,  2551.476332, -1698.215142
 55324.010417,20,-16999319.685375,17273505.376680,-10870864.974728, -2600.540692,  -829.332944,  2748.809371
 55324.010417,21,22776184.279101,3751925.590049,13141348.755500,  1005.101819,  2756.810181, -2529.095874
 55324.010417,22,205558.848148,17083613.813365,-20338005.007824, -3470.338096, -1300.680331, -1127.626783
 55324.010417,23,-20714048.783825,-16261754.880751,3465555.401692,  1708.151880, -1508.203569,  3132.745941
 55324.010417,24,-12032609.179901,-19255712.649325,13782612.588073,  2994.093295,  -113.454141,  2455.420836
 55324.020833,1,-14516789.745093,-6774683.600747,-21187096.088635,   692.434758, -3742.392363,   722.212913
 55324.020833,2,-10172170.334947,-18739996.064157,-15838751.884372,  1661.618267, -2740.794617,  2175.690140
 55324.020833,3,14951836.417372,-6914031.558825,20836634.047135,   454.730145,  3736.967777,   913.701434
 55324.020833,4,-1214482.150876,26533547.566198,149832.306337, -2220.467435,   -83.715648, -3173.180430
 55324.020833,5,22513424.073924,-13801015.937533,-2864307.703813,  1458.957594,  1727.122997,  3145.639343
