2021-02-24 14:47:47,911 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1', 'num_sat': 2, 'num_planes': 1, 'rx_constellation': '1111', 'elevation_mask': [], 'el_mask_max': [], 'uere_list': [], 'tle_file_name': None, 'obs_inci_angle_start': None, 'obs_inci_angle_stop': None, 'obs_swath_start': 325000.0, 'obs_swath_stop': 785000.0, 'frontal_area': None, 'mass': None}
2021-02-24 14:47:47,911 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1', 'sat_id': 1, 'plane': 1, 'name': '', 'rx_constellation': '1111', 'ltan': -1, 'elevation_mask': [], 'el_mask_max': [], 'uere_list': [], 'kepler': <segments.KeplerSet object at 0x7fa017fc4d30>, 'tle_line1': '', 'tle_line2': '', 'frontal_area': None, 'mass': None, 'satrec': None, 'pos_eci': array([0., 0., 0.]), 'vel_eci': array([0., 0., 0.]), 'pos_ecf': array([0., 0., 0.]), 'vel_ecf': array([0., 0., 0.]), 'lla': array([0., 0., 0.]), 'idx_stat_in_view': [], 'idx_sat_in_view': [], 'metric': [], 'obs_inci_angle_start': None, 'obs_inci_angle_stop': None, 'obs_swath_start': None, 'obs_swath_stop': None, 'p1': array([0., 0., 0.]), 'p2': array([0., 0., 0.]), 'p3': array([0., 0., 0.]), 'p4': array([0., 0., 0.])}
2021-02-24 14:47:47,913 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1', 'sat_id': 2, 'plane': 1, 'name': '', 'rx_constellation': '1111', 'ltan': -1, 'elevation_mask': [], 'el_mask_max': [], 'uere_list': [], 'kepler': <segments.KeplerSet object at 0x7fa017fc4ac8>, 'tle_line1': '', 'tle_line2': '', 'frontal_area': None, 'mass': None, 'satrec': None, 'pos_eci': array([0., 0., 0.]), 'vel_eci': array([0., 0., 0.]), 'pos_ecf': array([0., 0., 0.]), 'vel_ecf': array([0., 0., 0.]), 'lla': array([0., 0., 0.]), 'idx_stat_in_view': [], 'idx_sat_in_view': [], 'metric': [], 'obs_inci_angle_start': None, 'obs_inci_angle_stop': None, 'obs_swath_start': None, 'obs_swath_stop': None, 'p1': array([0., 0., 0.]), 'p2': array([0., 0., 0.]), 'p3': array([0., 0., 0.]), 'p4': array([0., 0., 0.])}
2021-02-24 14:47:48,091 - main - INFO - {'constellation_id': 1, 'station_id': 1, 'station_name': 'ALB', 'rx_constellation': '11', 'elevation_mask': [0.08726646259971647], 'el_mask_max': [1.5707963267948966], 'pos_eci': array([0., 0., 0.]), 'vel_eci': array([0., 0., 0.]), 'pos_ecf': array([3420934.91645718,  597048.72006104, 5331957.08868638]), 'vel_ecf': array([0., 0., 0.]), 'lla': array([0.996583 , 0.1727876, 0.       ]), 'idx_sat_in_view': []}
2021-02-24 14:47:50,438 - main - INFO - {'type': 'Grid', 'user_id': 29560, 'rx_constellation': '11', 'name': '', 'elevation_mask': [0.0], 'el_mask_max': [1.5707963267948966], 'pos_eci': array([0., 0., 0.]), 'vel_eci': array([0., 0., 0.]), 'pos_ecf': array([-3.91862092e-10,  4.79892657e-26,  6.35675231e+06]), 'vel_ecf': array([0., 0., 0.]), 'norm_ecf': 0, 'lla': array([1.57079633, 3.14159265, 0.        ]), 'num_lat': 41, 'num_lon': 721, 'idx_sat_in_view': [], 'tle_file_name': '', 'kepler': <segments.KeplerSet object at 0x7fa017fbcc18>, 'metric': [], 'UserName': 'Grid'}
2021-02-24 14:47:50,449 - main - INFO - Loaded simulation, start MJD: 58484.0, stop MJD: 58490.0, size time steps in sec: 120.0
2021-02-24 14:47:50,449 - main - INFO - Loaded 2 number of Station to Spacecraft links
2021-02-24 14:47:54,266 - main - INFO - Loaded 59122 number of User to Spacecraft links
2021-02-24 14:47:54,268 - main - INFO - Loaded 4 number of Spacecraft to Spacecraft links
2021-02-24 14:47:54,330 - main - INFO - Finished reading configuration file
2021-02-24 14:47:55,557 - main - INFO - Simulation time: 2019-01-01 01:20:00, time step: 40
2021-02-24 14:47:55,565 - main - INFO - Simulation time: 2019-01-01 01:22:00, time step: 41
2021-02-24 14:47:55,572 - main - INFO - Simulation time: 2019-01-01 01:24:00, time step: 42
2021-02-24 14:47:55,580 - main - INFO - Simulation time: 2019-01-01 01:26:00, time step: 43
2021-02-24 14:47:55,588 - main - INFO - Simulation time: 2019-01-01 01:28:00, time step: 44
2021-02-24 14:47:55,595 - main - INFO - Simulation time: 2019-01-01 01:30:00, time step: 45
2021-02-24 14:47:55,601 - main - INFO - Simulation time: 2019-01-01 01:32:00, time step: 46
2021-02-24 14:47:55,608 - main - INFO - Simulation time: 2019-01-01 01:34:00, time step: 47
2021-02-24 14:47:55,614 - main - INFO - Simulation time: 2019-01-01 01:36:00, time step: 48
2021-02-24 14:47:55,621 - main - INFO - Simulation time: 2019-01-01 01:38:00, time step: 49
2021-02-24 14:47:55,627 - main - INFO - Simulation time: 2019-01-01 01:40:00, time step: 50
2021-02-24 14:47:55,634 - main - INFO - Simulation time: 2019-01-01 01:42:00, time step: 51
2021-02-24 14:47:55,641 - main - INFO - Simulation time: 2019-01-01 01:44:00, time step: 52
2021-02-24 14:47:55,647 - main - INFO - Simulation time: 2019-01-01 01:46:00, time step: 53
2021-02-24 14:47:55,654 - main - INFO - Simulation time: 2019-01-01 01:48:00, time step: 54
2021-02-24 14:47:55,660 - main - INFO - Simulation time: 2019-01-01 01:50:00, time step: 55
2021-02-24 14:47:55,666 - main - INFO - Simulation time: 2019-01-01 01:52:00, time step: 56
2021-02-24 14:47:55,673 - main - INFO - Simulation time: 2019-01-01 01:54:00, time step: 57
2021-02-24 14:47:55,679 - main - INFO - Simulation time: 2019-01-01 01:56:00, time step: 58
2021-02-24 14:47:55,685 - main - INFO - Simulation time: 2019-01-01 01:58:00, time step: 59
2021-02-24 14:47:55,691 - main - INFO - Simulation time: 2019-01-01 02:00:00, time step: 60
2021-02-24 14:47:55,697 - main - INFO - Simulation time: 2019-01-01 02:02:00, time step: 61
2021-02-24 14:47:55,704 - main - INFO - Simulation time: 2019-01-01 02:04:00, time step: 62
2021-02-24 14:47:55,711 - main - INFO - Simulation time: 2019-01-01 02:06:00, time step: 63
2021-02-24 14:47:55,718 - main - INFO - Simulation time: 2019-01-01 02:08:00, time step: 64
2021-02-24 14:47:55,725 - main - INFO - Simulation time: 2019-01-01 02:10:00, time step: 65
2021-02-24 14:47:55,733 - main - INFO - Simulation time: 2019-01-01 02:12:00, time step: 66
2021-02-24 14:47:55,740 - main - INFO - Simulation time: 2019-01-01 02:14:00, time step: 67
2021-02-24 14:47:55,747 - main - INFO - Simulation time: 2019-01-01 02:16:00, time step: 68
2021-02-24 14:47:55,755 - main - INFO - Simulation time: 2019-01-01 02:18:00, time step: 69
2021-02-24 14:47:55,762 - main - INFO - Simulation time: 2019-01-01 02:20:00, time step: 70
2021-02-24 14:47:55,769 - main - INFO - Simulation time: 2019-01-01 02:22:00, time step: 71
2021-02-24 14:47:55,775 - main - INFO - Simulation time: 2019-01-01 02:24:00, time step: 72
2021-02-24 14:47:55,782 - main - INFO - Simulation time: 2019-01-01 02:26:00, time step: 73
2021-02-24 14:47:55,788 - main - INFO - Simulation time: 2019-01-01 02:28:00, time step: 74
2021-02-24 14:47:55,795 - main - INFO - Simulation time: 2019-01-01 02:30:00, time step: 75
2021-02-24 14:47:55,802 - main - INFO - Simulation time: 2019-01-01 02:32:00, time step: 76
2021-02-24 14:47:55,808 - main - INFO - Simulation time: 2019-01-01 02:34:00, time step: 77
2021-02-24 14:47:55,815 - main - INFO - Simulation time: 2019-01-01 02:36:00, time step: 78
2021-02-24 14:47:55,822 - main - INFO - Simulation time: 2019-01-01 02:38:00, time step: 79
