6541507.042824,762175.404291,-2616829.023751, -2581.184772, -1452.861429, -1452.861429
-2425371.510967,-1372858.277507,-6517648.591881, -6920.819176,  -810.070513,  -810.070513
6460786.632265,718212.572724,-2822146.600756, -2799.713050, -1477.742163, -1477.742163
-2631745.603696,-1396467.937054,-6431981.963671, -6836.274338,  -763.772768,  -763.772768
6373552.857485,673525.684557,-3024611.581559, -3015.372877, -1501.128014, -1501.128014
-2835480.049825,-1418676.939028,-6339847.028132, -6744.858653,  -716.701489,  -716.701489
6279895.038776,628159.935604,-3224019.970996, -3227.946947, -1522.995926, -1522.995926
-3036370.034975,-1439462.773384,-6241335.392474, -6646.660680,  -668.903189,  -668.903189
6179908.964600,582161.189698,-3420170.966315, -3437.221379, -1543.324424, -1543.324424
-3234213.502673,-1458804.337024,-6136545.050070, -6541.775690,  -620.425141,  -620.425141
6073696.785538,535575.930973,-3612867.158928, -3642.985938, -1562.093631, -1562.093631
-3428811.354739,-1476681.955949,-6025580.291458, -6430.305601,  -571.315335,  -571.315335
5961366.901841,488451.215648,-3801914.731893, -3845.034239, -1579.285286, -1579.285286
-3619967.649546,-1493077.406163,-5908551.609221, -6312.358901,  -521.622439,  -521.622439
5843033.844795,440834.623373,-3987123.652934, -4043.163956, -1594.882757, -1594.882757
-3807489.797980,-1507973.933283,-5785575.596730, -6188.050573,  -471.395750,  -471.395750
5718818.152073,392774.208193,-4168307.862815, -4237.177013, -1608.871053, -1608.871053
-3991188.756913,-1521356.270835,-5656774.840805, -6057.502002,  -420.685155,  -420.685155
5588846.237293,344318.449201,-4345285.458894, -4426.879782, -1621.236830, -1621.236830
-4170879.219978,-1533210.657208,-5522277.808298, -5920.840887,  -369.541084,  -369.541084
5453250.253979,295516.200931,-4517878.873704, -4612.083258, -1631.968406, -1631.968406
-4346379.805479,-1543524.851223,-5382218.726643, -5778.201144,  -318.014460,  -318.014460
5312167.954137,246416.643544,-4685915.048406, -4792.603240, -1641.055757, -1641.055757
-4517513.241192,-1552288.146307,-5236737.458414, -5629.722792,  -266.156658,  -266.156658
5165742.341763,197069.166558,-4849225.816751, -4968.260729, -1648.490539, -1648.490539
-4684106.766193,-1559491.391836,-5085979.164286, -5475.551636,  -214.019382,  -214.019382
5014122.313969,147523.583863,-5007647.198127, -5138.881158, -1654.266046, -1654.266046
-4845991.421251,-1565126.967859,-4930094.981614, -5315.839979,  -161.654898,  -161.654898
4857461.326148, 97829.686471,-5161020.869283, -5304.295958, -1658.377275, -1658.377275
-5003003.563982,-1569188.852856,-4769240.667949, -5150.745255,  -109.115562,  -109.115562
4695918.009669, 48037.456916,-5309193.433373, -5464.341756, -1660.820876, -1660.820876
-5154984.139189,-1571672.591257,-4603577.254099, -4980.430712,   -56.454051,   -56.454051
4529655.813895, -1803.046757,-5452016.788172, -5618.860756, -1661.595167, -1661.595167
-5301779.071584,-1572575.310876,-4433270.690973, -4805.065067,    -3.723240,    -3.723240
4358842.836906,-51641.740871,-5589348.266305, -5767.700869, -1660.700124, -1660.700124
-5443239.427643,-1571895.728065,-4258491.689555, -4624.822360,    49.023850,    49.023850
4183651.652329,-101428.565828,-5721050.769618, -5910.715846, -1658.137380, -1658.137380
-5579221.572873,-1569634.151281,-4079415.555421, -4439.881794,   101.734106,   101.734106
4004259.132476,-151113.535604,-5846992.897642, -6047.765390, -1653.910210, -1653.910210
-5709587.324276,-1565792.483046,-3896222.017937, -4250.427573,   154.354376,   154.354376
3820846.268001,-200646.787008,-5967049.070083, -6178.715273, -1648.023530, -1648.023530
-5834204.097780,-1560374.220270,-3709095.054254, -4056.648731,   206.831526,   206.831526
3633597.984280,-249978.628623,-6081099.643301, -6303.437441, -1640.483878, -1640.483878
-5952945.050438,-1553384.452931,-3518222.708256, -3858.738950,   259.112493,   259.112493
3442702.954698,-299059.589433,-6189031.020739, -6421.810113, -1631.299410, -1631.299410
-6065689.217160,-1544829.861094,-3323796.904598, -3656.896381,   311.144340,   311.144340
3248353.411058,-347840.467065,-6290735.757265, -6533.717874, -1620.479883, -1620.479883
-6172321.641788,-1534718.710249,-3126013.258015, -3451.323445,   362.874314,   362.874314
3050744.951291,-396272.375617,-6386112.657406, -6639.051764, -1608.036639, -1608.036639
-6272733.502284,-1523060.844966,-2925070.878077, -3242.226638,   414.249903,   414.249903
2850076.344649,-444306.793053,-6475066.867455, -6737.709353, -1593.982594, -1593.982594
-6366822.229848,-1509867.680852,-2721172.169566, -3029.816324,   465.218890,   465.218890
2646549.334573,-491895.608107,-6557509.961429, -6829.594821, -1578.332218, -1578.332218
-6454491.621757,-1495152.194815,-2514522.628695, -2814.306520,   515.729412,   515.729412
2440368.439403,-538991.166678,-6633360.020882, -6914.619024, -1561.101518, -1561.101518
-6535651.947742,-1478928.913615,-2305330.635366, -2595.914682,   565.730015,   565.730015
2231740.751108,-585546.317686,-6702541.708555, -6992.699560, -1542.308022, -1542.308022
-6610220.049713,-1461213.900719,-2093807.241696, -2374.861474,   615.169713,   615.169713
2020875.732197,-631514.458353,-6764986.335859, -7063.760823, -1521.970755, -1521.970755
-6678119.434671,-1442024.741459,-1880165.957050, -2151.370545,   663.998042,   663.998042
1807985.010981,-676849.578879,-6820631.924197, -7127.734056, -1500.110221, -1500.110221
-6739280.360626,-1421380.526488,-1664622.529806, -1925.668289,   712.165118,   712.165118
1593282.175338,-721506.306500,-6869423.260129, -7184.557402, -1476.748382, -1476.748382
-6793639.915374,-1399301.833560,-1447394.726130, -1697.983604,   759.621692,   759.621692
